DR2Name,Prot_Final,Class,Quality,Double,Multi,Eclipsing_Binary,Contaminated,Spot_Evolution,Flares,Notes,RA,Dec,Gmag,BP_RP,Prot,Prot_LS,Power_LS,TESS_Data
Gaia DR2 653781747161312512,-1.0,,,,,,,,,,123.276253,14.456531,14.671682,1.9707,-1,0.0,0.0,No
Gaia DR2 655146893925330816,-1.0,,,,,,,,,,121.092378,16.007524,16.495453,2.4415,-1,0.0,0.0,No
Gaia DR2 655444925999562368,-1.0,,,,,,,,,,124.54846,15.598623,18.74782,3.0462,-1,0.0,0.0,No
Gaia DR2 655606489786539136,-1.0,,,,,,,,,,123.64714,15.78114,14.564494,1.9464,-1,0.0,0.0,No
Gaia DR2 655617072585794560,-1.0,,,,,,,,,,123.374092,15.745407,13.177042,1.3942,-1,0.0,0.0,No
Gaia DR2 655681565814562560,-1.0,,,,,,,,,,123.018337,16.04372,17.330883,2.7554,-1,0.0,0.0,No
Gaia DR2 655683799197577344,-1.0,,,,,,,,,,122.818737,16.040569,12.420943,1.0998,-1,0.0,0.0,No
Gaia DR2 655807666054243200,-1.0,,,,,,,,,,123.662561,16.528421,17.32909,2.7383,-1,0.0,0.0,No
Gaia DR2 655945379886042496,-1.0,,,,,,,,,,125.257578,16.498375,13.848212,1.6341,-1,0.0,0.0,No
Gaia DR2 656076049970673920,-1.0,,,,,,,,,,125.518868,17.066502,16.357227,2.6174,-1,0.0,0.0,No
Gaia DR2 656098826180222464,-1.0,,,,,,,,,,126.04331,17.326509,19.26061216,3.1699,-1,0.0,0.0,No
Gaia DR2 656145800239280896,-1.0,,,,,,,,,,124.435302,16.720007,17.522013,2.9817,-1,0.0,0.0,No
Gaia DR2 656149304932599808,-1.0,,,,,,,,,,124.332075,16.766615,15.317301,2.0868,-1,0.0,0.0,No
Gaia DR2 656465036568844672,-1.0,,,,,,,,,,122.73891,16.528177,14.866352,2.1228,-1,0.0,0.0,No
Gaia DR2 656873230260202368,-1.0,,,,,,,,,,122.94438,17.669842,16.937275,2.7645,-1,0.0,0.0,No
Gaia DR2 657043414045814528,-1.0,,,,,,,,,,123.574861,17.507877,15.697168,2.5604,-1,0.0,0.0,No
Gaia DR2 657215552037068544,-1.0,,,,,,,,,,124.438206,18.382454,18.056501,3.0416,-1,0.0,0.0,No
Gaia DR2 657311660522179712,-1.0,,,,,,,,,,123.272067,18.392668,17.412987,2.8574,-1,0.0,0.0,No
Gaia DR2 657551010458556672,-1.0,,,,,,,,,,129.192171,14.864407,13.485312,1.4745,-1,0.0,0.0,No
Gaia DR2 657562104358045824,-1.0,,,,,,,,,,129.66347,14.854098,18.659424,3.0343,-1,0.0,0.0,No
Gaia DR2 657708824736752896,-1.0,,,,,,,,,,130.484737,15.629799,14.678762,2.0835,-1,0.0,0.0,No
Gaia DR2 657711053824014208,-1.0,,,,,,,,,,130.667643,15.640421,18.109768,3.1163,-1,0.0,0.0,No
Gaia DR2 657747990542406784,-1.0,,,,,,,,,,129.962334,15.672583,18.015442,2.9119,-1,0.0,0.0,No
Gaia DR2 657747990542414592,-1.0,,,,,,,,,,129.954509,15.682381,19.28616958,2.8863,-1,0.0,0.0,No
Gaia DR2 657769675833233408,-1.0,,,,,,,,,,129.740475,15.887555,14.620172,1.9859,-1,0.0,0.0,No
Gaia DR2 657777849155216896,-1.0,,,,,,,,,,129.949549,15.903786,19.06686616,3.1384,-1,0.0,0.0,No
Gaia DR2 657785717535594112,-1.0,,,,,,,,,,130.22681,16.016886,18.92505416,3.2526,-1,0.0,0.0,No
Gaia DR2 657934155901259392,-1.0,,,,,,,,,,128.608731,16.050961,17.514471,2.8423,-1,0.0,0.0,No
Gaia DR2 657970401128976896,-1.0,,,,,,,,,,129.155611,16.022362,18.01789,3.0367,-1,0.0,0.0,No
Gaia DR2 657982392677845120,-1.0,,,,,,,,,,129.379548,16.269768,18.36194916,3.0342,-1,0.0,0.0,No
Gaia DR2 657994143708820736,-1.0,,,,,,,,,,129.994275,16.296223,18.22177,2.9839,-1,0.0,0.0,No
Gaia DR2 658016271380321024,-1.0,,,,,,,,,,129.700708,16.532249,19.92943433,2.8346,-1,0.0,0.0,No
Gaia DR2 658033215026842368,-1.0,,,,,,,,,,129.135682,16.384003,14.607421,1.9865,-1,0.0,0.0,No
Gaia DR2 658041353988480512,-1.0,,,,,,,,,,128.733338,16.325516,18.418262,3.098,-1,0.0,0.0,No
Gaia DR2 658054307610371072,-1.0,,,,,,,,,,129.425419,16.435514,18.090788,2.9856,-1,0.0,0.0,No
Gaia DR2 658065444461396608,-1.0,,,,,,,,,,129.610477,16.624533,12.937875,1.3474,-1,0.0,0.0,No
Gaia DR2 658106779226559872,-1.0,,,,,,,,,,130.668638,15.938757,17.190992,2.7587,-1,0.0,0.0,No
Gaia DR2 658156527832150400,-1.0,,,,,,,,,,131.048851,16.54236,17.565561,3.0312,-1,0.0,0.0,No
Gaia DR2 658276035297795328,-1.0,,,,,,,,,,132.136301,16.939907,14.878581,2.2233,-1,0.0,0.0,No
Gaia DR2 658302110047850496,-1.0,,,,,,,,,,131.212042,16.75539,18.388159,3.0524,-1,0.0,0.0,No
Gaia DR2 658310704273685504,-1.0,,,,,,,,,,131.392887,16.911013,18.13729116,3.0903,-1,0.0,0.0,No
Gaia DR2 658316094456944128,-1.0,,,,,,,,,,131.268789,17.004745,18.140295,3.2483,-1,0.0,0.0,No
Gaia DR2 658335615083984128,-1.0,,,,,,,,,,131.51138,17.021564,16.880274,2.6506,-1,0.0,0.0,No
Gaia DR2 658399588621005312,-1.0,,,,,,,,,,130.192061,16.818708,18.230936,3.1382,-1,0.0,0.0,No
Gaia DR2 658423610374223872,-1.0,,,,,,,,,,130.284809,16.878372,16.567083,2.2523,-1,0.0,0.0,No
Gaia DR2 658427351290217856,-1.0,,,,,,,,,,130.177078,16.91868,19.82240848,2.7721,-1,0.0,0.0,No
Gaia DR2 658436014239681536,-1.0,,,,,,,,,,130.324144,17.055733,17.285534,3.1159,-1,0.0,0.0,No
Gaia DR2 658445218353519488,-1.0,,,,,,,,,,129.629273,16.790245,11.608404,0.9716,-1,0.0,0.0,No
Gaia DR2 658461680964201472,-1.0,,,,,,,,,,129.603727,16.976686,15.882702,2.498,-1,0.0,0.0,No
Gaia DR2 658463772612207616,-1.0,,,,,,,,,,129.383403,16.959915,16.907873,2.8359,-1,0.0,0.0,No
Gaia DR2 658465872852222720,-1.0,,,,,,,,,,129.53218,17.050684,9.672174,0.591,-1,0.0,0.0,No
Gaia DR2 658475424859524992,-1.0,,,,,,,,,,129.731937,17.252666,16.391161,2.6321,-1,0.0,0.0,No
Gaia DR2 658482051992944512,-1.0,,,,,,,,,,129.985972,17.175997,19.43640716,3.0073,-1,0.0,0.0,No
Gaia DR2 658506344327926784,-1.0,,,,,,,,,,130.000265,17.368334,18.186707,3.0033,-1,0.0,0.0,No
Gaia DR2 658516136854011264,-1.0,,,,,,,,,,130.718262,17.133797,8.663859,0.6065,-1,0.0,0.0,No
Gaia DR2 658528265841052672,-1.0,,,,,,,,,,130.960069,17.418831,18.10255816,3.2663,-1,0.0,0.0,No
Gaia DR2 658530396144737152,-1.0,,,,,,,,,,130.616871,17.246807,16.82756493,2.7409,-1,0.0,0.0,No
Gaia DR2 658538784217148672,-1.0,,,,,,,,,,130.793438,17.368643,13.596084,1.8659,-1,0.0,0.0,No
Gaia DR2 658570601334852352,-1.0,,,,,,,,,,130.95519,17.659288,18.87887916,3.5099,-1,0.0,0.0,No
Gaia DR2 658570974996041344,-1.0,,,,,,,,,,130.965756,17.655603,16.89736,2.7468,-1,0.0,0.0,No
Gaia DR2 658587467670294784,-1.0,,,,,,,,,,130.312112,17.460171,17.9729,3.0728,-1,0.0,0.0,No
Gaia DR2 658600455651464704,-1.0,,,,,,,,,,130.274012,17.541113,15.78661141,2.5286,-1,0.0,0.0,No
Gaia DR2 658602070559194496,-1.0,,,,,,,,,,130.288596,17.571402,17.95854,3.0331,-1,0.0,0.0,No
Gaia DR2 658607950370340608,-1.0,,,,,,,,,,130.410347,17.640013,14.507648,1.9544,-1,0.0,0.0,No
Gaia DR2 658615440793299712,-1.0,,,,,,,,,,130.358956,17.803537,16.536423,2.7845,-1,0.0,0.0,No
Gaia DR2 658618155212680832,-1.0,,,,,,,,,,130.811133,17.708385,17.64064,3.0168,-1,0.0,0.0,No
Gaia DR2 658628905514597376,-1.0,,,,,,,,,,131.049808,17.902208,9.819591,0.6274,-1,0.0,0.0,No
Gaia DR2 658630249840567680,-1.0,,,,,,,,,,130.929451,17.908302,14.419724,1.9785,-1,0.0,0.0,No
Gaia DR2 658632925604697472,-1.0,,,,,,,,,,130.950916,17.979706,19.41633249,2.8342,-1,0.0,0.0,No
Gaia DR2 658641996575437440,-1.0,,,,,,,,,,130.57308,17.987457,16.64319318,2.7992,-1,0.0,0.0,No
Gaia DR2 658645574283870720,-1.0,,,,,,,,,,130.94737,18.050028,17.322754,3.0872,-1,0.0,0.0,No
Gaia DR2 658660520770798976,-1.0,,,,,,,,,,128.126288,15.891663,17.101683,3.0058,-1,0.0,0.0,No
